snapped_at,price,market_cap,total_volume
2018-08-23 00:00:00 UTC,0.9976984777805094,47287587.66314864,500093.7494732604
2018-08-24 00:00:00 UTC,1.0089065824229566,48139591.715486206,149131.6157874667
2018-08-25 00:00:00 UTC,1.0014916583516549,48191043.312019505,135881.43987108252
2018-08-26 00:00:00 UTC,0.9940271791227073,47905064.36906887,135939.58069552842
2018-08-27 00:00:00 UTC,0.9992896325699739,48202242.355778605,82165.81534437508
2018-08-28 00:00:00 UTC,1.0102154865219033,49010242.43141937,92201.91812922685
2018-08-29 00:00:00 UTC,0.997687653311423,49884382.665571146,235974.91639814025
2018-08-30 00:00:00 UTC,1.0001057162264686,50015323.93486022,143970.15275387175
2018-08-31 00:00:00 UTC,1.0084873708445945,50424368.54222973,261471.52511546126
2018-09-01 00:00:00 UTC,1.0004872568563332,50022843.90807125,86200.33950866961
2018-09-02 00:00:00 UTC,1.0013891329203457,50057521.914907075,384734.25384351815
2018-09-03 00:00:00 UTC,1.0062931213814272,50309691.30603118,240093.45685169738
2018-09-04 00:00:00 UTC,0.9959658349948541,49782728.41279894,232351.93719944148
2018-09-05 00:00:00 UTC,1.0041924385115957,50210961.645241044,85747.62875673747
2018-09-06 00:00:00 UTC,1.0342785550789106,51659887.56264127,1509395.5263081598
2018-09-07 00:00:00 UTC,0.9944013038270352,49736205.986735456,1804183.4291308622
2018-09-08 00:00:00 UTC,0.9986213395893643,49931819.93547769,414295.62358497723
2018-09-09 00:00:00 UTC,0.9965358561247248,49826792.806236245,870582.0518663818
2018-09-10 00:00:00 UTC,1.0313117963294418,51569451.09692778,1421470.6233235637
2018-09-11 00:00:00 UTC,1.0077580423556183,50336152.91771268,1406644.3214017013
2018-09-12 00:00:00 UTC,1.000517356093943,50050109.3275841,1025079.9284586685
2018-09-13 00:00:00 UTC,0.9968652407114955,49845550.55672737,1186158.7147786922
2018-09-14 00:00:00 UTC,0.996252508206239,49815498.424444474,1260063.2210789514
2018-09-15 00:00:00 UTC,0.9978012021327347,49866385.63849978,774804.9645907538
2018-09-16 00:00:00 UTC,1.0001369442795063,50023831.27381658,482116.3331496399
2018-09-17 00:00:00 UTC,1.0031407644358508,50157038.22179254,402116.3474243917
2018-09-18 00:00:00 UTC,1.0024594100749495,50122970.50374748,1039612.7354566593
2018-09-19 00:00:00 UTC,0.9941958618412504,49709842.34422061,674601.3859501518
